track_name,artist_name,COMB,artist_pop,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
Running Up That Hill (A Deal With God),Kate Bush,Running Up That Hill (A Deal With God)Kate Bush,81,95,0.629,0.547,-13.123,0,10,0.055,0.72,0.00314,0.0604,0.197,108.375,4,298933
As It Was,Harry Styles,As It WasHarry Styles,91,96,0.52,0.731,-5.338,0,6,0.0557,0.342,0.00101,0.311,0.662,173.93,4,167303
Sunroof,Nicky Youre,SunroofNicky Youre,73,44,0.768,0.716,-5.11,1,10,0.0404,0.35,0,0.15,0.841,131.43,4,163026
Heat Waves,Glass Animals,Heat WavesGlass Animals,80,89,0.761,0.525,-6.9,1,11,0.0944,0.44,6.70E-06,0.0921,0.531,80.87,4,238805
About Damn Time,Lizzo,About Damn TimeLizzo,81,92,0.836,0.743,-6.305,0,10,0.0656,0.0995,0,0.335,0.722,108.966,4,191822
Glimpse of Us,Joji,Glimpse of UsJoji,85,97,0.44,0.317,-9.258,1,8,0.0531,0.891,4.78E-06,0.141,0.268,169.914,3,233456
Bad Habit,Steve Lacy,Bad HabitSteve Lacy,83,86,0.686,0.494,-7.093,1,1,0.0355,0.613,5.80E-05,0.402,0.7,168.946,4,232067
STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber)The Kid LAROI,83,89,0.591,0.764,-5.484,1,1,0.0483,0.0383,0,0.103,0.478,169.928,4,141806
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,Enemy (with JID) - from the series Arcane League of LegendsImagine Dragons,88,87,0.728,0.783,-4.424,0,11,0.266,0.237,0,0.434,0.555,77.011,4,173381
First Class,Jack Harlow,First ClassJack Harlow,84,89,0.905,0.563,-6.135,1,8,0.102,0.0254,9.71E-06,0.113,0.324,106.998,4,173948
Afraid To Feel,LF SYSTEM,Afraid To FeelLF SYSTEM,68,86,0.578,0.912,-3.929,1,1,0.114,0.0166,0.00362,0.273,0.68,127.87,4,177525
Betty (Get Money),Yung Gravy,Betty (Get Money)Yung Gravy,75,87,0.723,0.772,-6.784,1,1,0.0792,0.00524,1.15E-05,0.367,0.58,102.004,4,146471
abcdefu,GAYLE,abcdefuGAYLE,71,87,0.695,0.54,-5.692,1,4,0.0493,0.299,0,0.367,0.415,121.932,4,168602
Being Good Is Boring,Jena Rose,Being Good Is BoringJena Rose,40,55,0.767,0.758,-3.191,0,11,0.084,0.0368,0,0.0682,0.844,111.986,4,160982
MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHTElley Duhé,75,91,0.41,0.611,-8.271,0,4,0.0467,0.0228,0,0.116,0.0899,185.727,3,184448
Envolver,Anitta,EnvolverAnitta,80,86,0.812,0.736,-5.421,0,4,0.0833,0.152,0.00254,0.0914,0.396,91.993,4,193806
AMG,Jt5k,AMGJt5k,36,0,0.802,0.509,-6.889,0,10,0.181,0.0283,0,0.307,0.0567,87.849,4,135000
